path,size,sha256,rule_braces
assets/rbis.css,47540,b4eaaebe0b98ceb3e1e576a8421f48384e9d485a118e3c5756daf06371bd6e48,528
assets/rbis.min.css,5098,ce886c24a025d0b836593c40f188814b4505be69cc2a273beafb60e84ef1251d,58
style.css,3134,d83c83793e7be060a9efc94d21d131f5e95569300600db282608935827809a46,39
